№   | Language              | ISO-639 code | Text                   
97  | Russian               | ru           | Добрый день            
98  | Samoan                | sm           | Manuia le aso          
99  | Sanskrit              | sa           | शुभ दिवस               
100 | Scots gaelic          | gd           | Latha math             
101 | Sepedi                | nso          | Letšatši le lebotse    
102 | Serbian               | sr           | Добар дан              
103 | Sesotho               | st           | Lumela                 
104 | Shona                 | sn           | Zuva rakanaka          
105 | Sindhi                | sd           | توهان جو ڏينهن سٺو گذري
106 | Sinhala               | si           | සුබ දිනක්              
107 | Slovak                | sk           | Dobry den              
108 | Slovenian             | sl           | dober dan              
109 | Somali                | so           | Maalin wanaagsan       
110 | Spanish               | es           | Buen día               
111 | Sundanese             | su           | Wilujeng siang         
112 | Swahili               | sw           | Siku njema             
113 | Swedish               | sv           | God dag                
114 | Tajik                 | tg           | Рӯзи нағз              
115 | Tamil                 | ta           | நல்ல நாள்              
116 | Tatar                 | tt           | Хәерле көн             
117 | Telugu                | te           | మంచి రోజు              
118 | Thai                  | th           | ขอให้เป็นวันที่ดี      
119 | Tigrinya              | ti           | ብሩኽ መዓልቲ               
120 | Tsonga                | ts           | Siku lerinene          
121 | Turkish               | tr           | İyi günler             
122 | Turkmen               | tk           | Günüňiz haýyrly bolsun 
123 | Twi                   | ak           | Da pa                  
124 | Ukrainian             | uk           | Добрий день            
125 | Urdu                  | ur           | اچھا دن                
126 | Uyghur                | ug           | خەيرلىك كۈن            
127 | Uzbek                 | uz           | Xayrli kun             
128 | Vietnamese            | vi           | Chúc một ngày tốt lành 
129 | Welsh                 | cy           | Diwrnod da             
130 | Xhosa                 | xh           | Mholweni emini nje     
131 | Yiddish               | yi           | אַ גוטן טאָג           
132 | Yoruba                | yo           | Ojo dada               
133 | Zulu                  | zu           | Usuku oluhle           
