№   | Language                      | ISO-639 code | Text                   
117 | Kurdish (sorani)              | ckb          | بەهیوای ڕۆژێکی خۆش     
118 | Kyrgyz                        | ky           | Кайырдуу күн           
119 | Lao                           | lo           | ມື້ທີ່ດີ               
120 | Latgalian                     | ltg          | Loba dīna              
121 | Latin                         | la           | Bonus dies             
122 | Latvian                       | lv           | Laba diena             
123 | Ligurian                      | lij          | Boña giornâ            
124 | Limburgish                    | lim          | Good day               
125 | Lingala                       | ln           | Mokolo malamu          
126 | Lithuanian                    | lt           | laba diena             
127 | Lombard                       | lmo          | Bondì                  
128 | Luganda                       | lg           | Olunaku olulungi       
129 | Luo                           | luo          | Odiochieng' maber      
130 | Luxembourgish                 | lb           | Gudden Dag             
131 | Macedonian                    | mk           | Добар ден              
132 | Madurese                      | mad          | Selamet siang          
133 | Maithili                      | mai          | बढिया दिन              
134 | Makassar                      | mak          | Salamakki allampa      
135 | Malagasy                      | mg           | Andro tsara            
136 | Malay                         | ms           | hari yang baik         
137 | Malay (jawi)                  | ms-arab      | hari yang baik         
138 | Malayalam                     | ml           | നല്ല ദിവസം             
139 | Maltese                       | mt           | Jum it-tajjeb          
140 | Mam                           | mam          | B´a´ntz q´ij           
141 | Manx                          | glv          | Good day               
142 | Maori                         | mi           | Pai rā                 
143 | Marathi                       | mr           | शुभ दिवस               
144 | Marshallese                   | mah          | Good day               
145 | Marwadi                       | mwr          | दिन चोखो रेवै          
146 | Mauritian creole              | mfe          | Bonzour                
147 | Meadow mari                   | mhr          | Кече сай               
148 | Meiteilon (manipuri)          | mni-mtei     | ꯌꯥꯏꯐꯔꯕ ꯅꯨꯃꯤꯠ           
149 | Minang                        | min          | Salamaik siang         
150 | Mizo                          | lus          | Ni hman nuam le        
151 | Mongolian                     | mn           | Өдрийн мэнд            
152 | Myanmar (burmese)             | my           | ကောင်းသောနေ့           
153 | Nahuatl (eastern huasteca)    | nhe          | Kuali tonal            
154 | Ndau                          | ndc-zw       | Добрий день            
155 | Ndebele (south)               | nde          | Good day               
156 | Nepalbhasa (newari)           | new          | छं दिं बांलायेमा       
157 | Nepali                        | ne           | शुभ दिन                
158 | Norwegian                     | no           | God dag                
159 | Nuer                          | nus          | Cäŋ mi gɔa̱            
160 | Nyanja (chichewa)             | ny           | Tsiku labwino          
161 | Occitan                       | oci          | Good day               
162 | Odia (oriya)                  | or           | ଶୁଭ ଦିନ                
163 | Oromo                         | om           | Guyyaa gaarii          
164 | Ossetian                      | oss          | Good day               
165 | Pangasinan                    | pag          | Maong ya agew          
166 | Papiamento                    | pap          | Bon dia                
167 | Pashto                        | ps           | ښه ورځ                 
168 | Persian                       | fa           | روز بخیر               
169 | Polish                        | pl           | Dzień dobry            
170 | Portuguese (portugal)         | por          | Good day               
171 | Portuguese (portugal, brazil) | pt           | Bom dia                
172 | Punjabi                       | pa           | ਚੰਗਾ ਦਿਨ               
173 | Punjabi (shahmukhi)           | pa-arab      | ਚੰਗਾ ਦਿਨ               
174 | Q'eqchi'                      | kek          | Chanxawil              
175 | Quechua                       | qu           | Allin punchaw          
176 | Romani                        | rom          | Laćho dĭves            
177 | Romanian                      | ro           | Bună ziua              
178 | Rundi                         | run          | Good day               
179 | Russian                       | ru           | Добрый день            
180 | Sami (north)                  | sme          | Good day               
181 | Samoan                        | sm           | Manuia le aso          
182 | Sango                         | sag          | Good day               
183 | Sanskrit                      | sa           | शुभ दिवस               
184 | Santali                       | sat          | ᱵᱷᱟᱜᱮ ᱥᱤᱧ              
185 | Scots gaelic                  | gd           | Latha math             
186 | Sepedi                        | nso          | Letšatši le lebotse    
187 | Serbian                       | sr           | Добар дан              
188 | Sesotho                       | st           | Lumela                 
189 | Seychellois creole            | crs          | Bonzour                
190 | Shan                          | shn          | ဝၼ်းလီ                 
191 | Shona                         | sn           | Zuva rakanaka          
192 | Sicilian                      | scn          | Bona jurnata           
193 | Silesian                      | szl          | Dobry dziyń            
194 | Sindhi                        | sd           | توهان جو ڏينهن سٺو گذري
195 | Sinhala (sinhalese)           | si           | සුබ දිනක්              
196 | Slovak                        | sk           | Dobry den              
197 | Slovenian                     | sl           | dober dan              
198 | Somali                        | so           | Maalin wanaagsan       
199 | Spanish                       | es           | Buen día               
200 | Sundanese                     | su           | Wilujeng siang         
201 | Susu                          | sus          | Lökhè fan'yi           
202 | Swahili                       | sw           | Siku njema             
203 | Swati                         | ssw          | Good day               
204 | Swedish                       | sv           | God dag                
205 | Tagalog (filipino)            | tl           | Magandang araw po      
206 | Tahitian                      | tah          | Good day               
207 | Tajik                         | tg           | Рӯзи нағз              
208 | Tamazight                     | ber-atn      | Good day               
209 | Tamazight (tifinagh)          | ber          | ⴰⵙⵙ ⴰⵎⴻⴳⴳⴰⵣ            
210 | Tamil                         | ta           | நல்ல நாள்              
211 | Tatar                         | tt           | Хәерле көн             
212 | Telugu                        | te           | మంచి రోజు              
213 | Tetum                         | tet          | Loron di'ak            
214 | Thai                          | th           | ขอให้เป็นวันที่ดี      
215 | Tibetan                       | bod          | Good day               
216 | Tigrinya                      | ti           | ብሩኽ መዓልቲ               
217 | Tiv                           | tiv          | Upande nena            
218 | Tok pisin                     | tpi          | Gutpela de             
219 | Tongan                        | ton          | Good day               
220 | Tsonga                        | ts           | Siku lerinene          
221 | Tswana                        | tsn          | Good day               
222 | Tulu                          | tcy          | ದಿನ ಎಡ್ಡೆ ಉಪ್ಪಾಡ್      
223 | Tumbuka                       | tum          | Zuba liwemi            
224 | Turkish                       | tr           | İyi günler             
225 | Turkmen                       | tk           | Günüňiz haýyrly bolsun 
226 | Tuvan                         | tuk          | Good day               
227 | Twi (akan)                    | ak           | Da pa                  
228 | Udmurt                        | udm          | Бур нуналэн            
229 | Ukrainian                     | uk           | Добрий день            
230 | Urdu                          | ur           | اچھا دن                
231 | Uyghur                        | ug           | خەيرلىك كۈن            
232 | Uzbek                         | uz           | Xayrli kun             
233 | Venda                         | ven          | Good day               
234 | Venetian                      | vec          | Bona jornada           
235 | Vietnamese                    | vi           | Chúc một ngày tốt lành 
236 | Waray                         | war          | Maupay nga adlaw       
237 | Welsh                         | cy           | Diwrnod da             
238 | Wolof                         | wol          | Good day               
239 | Xhosa                         | xh           | Mholweni emini nje     
240 | Yakut                         | sah          | Үчүгэй күн             
241 | Yiddish                       | yi           | אַ גוטן טאָג           
242 | Yoruba                        | yo           | Ojo dada               
243 | Yucatec maya                  | yua          | Ma'alob k'iin          
244 | Zapotec                       | zap          | Sicarú dxi             
245 | Zulu                          | zu           | Usuku oluhle           
